Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,IN,5,2022,86,F,true,JMC,JULY,2025,Lecture 9
1,IN,5,2022,86,F,true,PYC,JUNE,2023,Lecture 6
2,AU,6,2023,84,F,true,JMC,APRIL,2025,Lecture 10
2,AU,6,2023,84,F,true,PYC,DECEMBER,2024,Lecture 3
3,CN,10,2021,41,U,false,JMC,NOVEMBER,2021,Lecture 1
3,CN,10,2021,41,U,false,PYC,JULY,2025,Lecture 5
4,GB,3,2023,81,F,true,JMC,NOVEMBER,2025,Lecture 2
4,GB,3,2023,81,F,true,PYC,MARCH,2024,Lecture 10
5,CN,8,2020,64,F,false,JMC,OCTOBER,2024,Lecture 8
5,CN,8,2020,64,F,false,PYC,NOVEMBER,2024,Lecture 1
6,CN,7,2024,85,U,true,JMC,AUGUST,2024,Lecture 11
6,CN,7,2024,85,U,true,PYC,AUGUST,2024,Lecture 1
7,CN,8,2022,80,U,true,JMC,JANUARY,2022,Lecture 2
7,CN,8,2022,80,U,true,PYC,MARCH,2024,Lecture 10
8,US,1,2022,18,F,true,JMC,SEPTEMBER,2025,Lecture 1
8,US,1,2022,18,F,true,PYC,APRIL,2023,Lecture 5
9,CN,8,2020,84,M,true,JMC,JULY,2023,Lecture 3
9,CN,8,2020,84,M,true,PYC,JUNE,2025,Lecture 14
10,GB,8,2019,63,M,false,JMC,JULY,2024,Lecture 10
10,GB,8,2019,63,M,false,PYC,DECEMBER,2025,Lecture 1
11,US,12,2022,67,U,false,JMC,AUGUST,2023,Lecture 4
11,US,12,2022,67,U,false,PYC,JUNE,2024,Lecture 4
12,AU,3,2021,34,M,false,JMC,SEPTEMBER,2022,Lecture 14
12,AU,3,2021,34,M,false,PYC,MAY,2023,Lecture 9
13,GB,6,2025,79,U,true,JMC,JANUARY,2025,Lecture 1
13,GB,6,2025,79,U,true,PYC,MARCH,2025,Lecture 9
14,GB,11,2019,45,U,false,JMC,MAY,2024,Lecture 11
14,GB,11,2019,45,U,false,PYC,JUNE,2019,Lecture 4
15,CN,10,2018,24,U,true,JMC,APRIL,2021,Lecture 9
15,CN,10,2018,24,U,true,PYC,MARCH,2021,Lecture 12
16,US,2,2019,32,F,false,JMC,SEPTEMBER,2025,Lecture 1
16,US,2,2019,32,F,false,PYC,JANUARY,2022,Lecture 4
17,US,10,2021,20,F,false,JMC,APRIL,2025,Lecture 6
17,US,10,2021,20,F,false,PYC,NOVEMBER,2022,Lecture 7
18,CN,12,2015,51,U,true,JMC,JUNE,2023,Lecture 5
18,CN,12,2015,51,U,true,PYC,DECEMBER,2021,Lecture 10
19,IN,11,2019,74,F,false,JMC,OCTOBER,2022,Lecture 3
19,IN,11,2019,74,F,false,PYC,AUGUST,2019,Lecture 14
20,IN,3,2019,47,F,false,JMC,OCTOBER,2022,Lecture 2
20,IN,3,2019,47,F,false,PYC,NOVEMBER,2024,Lecture 12
21,AU,11,2024,64,U,false,JMC,MARCH,2025,Lecture 1
21,AU,11,2024,64,U,false,PYC,JULY,2024,Lecture 2
22,IN,10,2023,47,F,true,JMC,OCTOBER,2025,Lecture 12
22,IN,10,2023,47,F,true,PYC,JANUARY,2025,Lecture 11
23,CN,11,2025,23,M,false,JMC,NOVEMBER,2025,Lecture 5
23,CN,11,2025,23,M,false,PYC,FEBRUARY,2025,Lecture 8
24,CN,1,2016,45,U,true,JMC,MARCH,2019,Lecture 6
24,CN,1,2016,45,U,true,PYC,JANUARY,2021,Lecture 14
25,CN,7,2023,67,M,true,JMC,MAY,2023,Lecture 4
25,CN,7,2023,67,M,true,PYC,OCTOBER,2024,Lecture 12
